"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"_build_jql_from_params() produces correct JQL clauses for each param combination.","2","test_build_jql_from_params[params4-project = PROJ-sprint in closedSprints()]","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_filter_handlers","",""
"GET /api/filters always includes the default filter, even after all user filters are removed.","3","test_get_filters_always_includes_default_after_user_delete","tests.component","Mon Apr 06 07:28:17 UTC 2026","passed","Mon Apr 06 07:28:17 UTC 2026","","test_server_filters","",""
"","1","test_test_connection_empty_body","tests.component","Mon Apr 06 07:28:04 UTC 2026","passed","Mon Apr 06 07:28:04 UTC 2026","","test_server","",""
"When /api/cert-status reports no cert, the badge shows 'No certificate'.","125","test_cert_status_badge_no_cert[chromium]","tests.e2e","Mon Apr 06 07:28:58 UTC 2026","passed","Mon Apr 06 07:28:58 UTC 2026","","test_e2e_ui","",""
"","33","test_ai_usage_cases_canvas_present","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_report_html","",""
"","0","test_import_app_config","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_imports","",""
"","0","test_import_app_cert_utils","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_imports","",""
"Generate tab shows metric toggle checkboxes, all checked by default (RG-MT-001).","391","test_metric_toggle_checkboxes_visible[chromium]","tests.e2e","Mon Apr 06 07:29:00 UTC 2026","passed","Mon Apr 06 07:29:00 UTC 2026","","test_e2e_ui","",""
"","0","test_get_in_progress_statuses","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_schema","",""
"","0","test_parse_iso[2026-03-01T10:00:00Z-True]","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"Jira URL must be masked in error messages.","1","test_sanitise_error_replaces_url","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_jira_client","",""
"","33","test_html_dau_section_hidden_when_visibility_false","tests.component","Mon Apr 06 07:27:58 UTC 2026","passed","Mon Apr 06 07:27:58 UTC 2026","","test_dau_report","",""
"","1","test_setup_logging_creates_log_directory","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_logging_setup","",""
"","1","test_get_filter_jql_api_error","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_jira_client","",""
"","0","test_timestamp_folder_name_valid_iso","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_main_helpers","",""
"","33","test_velocity_value_present","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_report_html","",""
"After Save, field values are stored in localStorage.","327","test_save_persists_values_to_localstorage[chromium]","tests.e2e","Mon Apr 06 07:28:39 UTC 2026","passed","Mon Apr 06 07:28:39 UTC 2026","","test_e2e_connection","",""
"Generate tab shows StoryPoints / JiraTickets radio buttons (RG-ET-001).","354","test_estimation_type_radios_visible[chromium]","tests.e2e","Mon Apr 06 07:29:00 UTC 2026","passed","Mon Apr 06 07:29:00 UTC 2026","","test_e2e_ui","",""
"","1","test_ai_exclude_labels_empty","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_config","",""
"Full positive E2E: Fetch Certificate → badge transitions from 'No certificate' to 'Valid'.

    Steps: load with no cert → badge neutral → fill URL → click Fetch Certificate
    → /api/fetch-cert returns ok=true → /api/cert-status re-polled → badge shows 'Valid'.
    Covers JCR-SSL-006.
    ","322","test_positive_e2e_fetch_cert_then_badge_shows_valid[chromium]","tests.e2e","Mon Apr 06 07:28:44 UTC 2026","passed","Mon Apr 06 07:28:45 UTC 2026","","test_e2e_connection","",""
"","33","test_html_dau_trend_hidden_when_visibility_false","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_dau_report","",""
"","1","test_compute_dau_trend_single_week","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_dau_metrics","",""
"","0","test_parse_iso[None-False]","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"","0","test_get_story_points_custom_field","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"","0","test_fetch_sprint_data_skips_sprints_without_id","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_jira_client","",""
"python main.py --clean → exit 0.","1155","test_cli_clean_via_subprocess","tests.integration","Mon Apr 06 07:28:00 UTC 2026","passed","Mon Apr 06 07:28:01 UTC 2026","","test_cli_server","",""
"Two responses from same user in same week → only latest counts.","1","test_compute_dau_trend_dedup_applied","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_dau_metrics","",""
"","2","test_jira_url_empty_string_safe","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_config","",""
"","0","test_md_has_dau_trend_heading","tests.component","Mon Apr 06 07:27:58 UTC 2026","passed","Mon Apr 06 07:27:58 UTC 2026","","test_dau_report","",""
"Test Connection with unreachable Jira shows error after attempt (mocked — no real DNS).","295","test_test_connection_unreachable_server[chromium]","tests.e2e","Mon Apr 06 07:28:52 UTC 2026","passed","Mon Apr 06 07:28:52 UTC 2026","","test_e2e_ui","",""
"GET /api/schemas?name=Nonexistent returns 404.","1","test_get_schema_not_found","tests.component","Mon Apr 06 07:28:13 UTC 2026","passed","Mon Apr 06 07:28:13 UTC 2026","","test_server","",""
"","0","test_get_story_points_integer_stored_as_int","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"Submit button stays disabled with 2 of 3 fields and enables at 3 of 3.","106","test_submit_enabled_only_when_all_fields_are_valid[chromium]","tests.e2e","Mon Apr 06 07:28:25 UTC 2026","passed","Mon Apr 06 07:28:25 UTC 2026","","test_dau_survey_ui","",""
"","0","test_is_done[Done-True]","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"Confirmation table reflects the exact username and role that were submitted.","147","test_confirmation_displays_submitted_data[chromium]","tests.e2e","Mon Apr 06 07:28:26 UTC 2026","passed","Mon Apr 06 07:28:26 UTC 2026","","test_dau_survey_ui","",""
"Clicking Connection tab shows its panel and hides others.","137","test_click_connection_tab[chromium]","tests.e2e","Mon Apr 06 07:28:48 UTC 2026","passed","Mon Apr 06 07:28:49 UTC 2026","","test_e2e_ui","",""
"","1","test_velocity_section_hidden_when_section_visibility_false","tests.component","Mon Apr 06 07:28:00 UTC 2026","passed","Mon Apr 06 07:28:00 UTC 2026","","test_report_md","",""
"validate_cert() on a missing file returns the error-shape consumed by _handle_cert_status.","0","test_validate_cert_response_has_all_keys_when_missing","tests.component","Mon Apr 06 07:27:58 UTC 2026","passed","Mon Apr 06 07:27:58 UTC 2026","","test_contracts","",""
"","1","test_estimation_type_jira_tickets","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_config","",""
"Clicking Filter tab shows its panel and hides others.","143","test_click_filter_tab[chromium]","tests.e2e","Mon Apr 06 07:28:49 UTC 2026","passed","Mon Apr 06 07:28:49 UTC 2026","","test_e2e_ui","",""
"","1","test_ai_trend_no_done_issues","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"Save is disabled even when fields are pre-populated from server — Test Connection not yet run.","127","test_save_button_disabled_on_load_even_with_prefilled_config[chromium]","tests.e2e","Mon Apr 06 07:28:30 UTC 2026","passed","Mon Apr 06 07:28:30 UTC 2026","","test_e2e_connection","",""
"","1","test_empty_dir_returns_zero_count","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_dau_metrics","",""
"","0","test_md_dau_shows_role_in_table","tests.component","Mon Apr 06 07:27:58 UTC 2026","passed","Mon Apr 06 07:27:58 UTC 2026","","test_dau_report","",""
"","1","test_validate_cert_expired","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_cert_validation","",""
"Key dynamic regions carry aria-live so screen readers announce updates (NFR-A-002).","100","test_dynamic_regions_have_aria_live[chromium]","tests.e2e","Mon Apr 06 07:29:05 UTC 2026","passed","Mon Apr 06 07:29:05 UTC 2026","","test_e2e_ui","",""
